section,condition_a,condition_b,successes,total,success_rate,wilson_95_lower,wilson_95_upper,absolute_difference,a_failure_b_success,a_success_b_failure,discordant_pairs,mcnemar_exact_p,bonferroni_adjusted_p
overall,normal,,9,27,0.3333333333333333,0.1864305444359335,0.5217558012789452,,,,,,
overall,labelled,,15,27,0.5555555555555556,0.37312719479576884,0.7241440232992717,,,,,,
overall,no_image,,12,27,0.4444444444444444,0.2758559767007283,0.6268728052042312,,,,,,
pairwise,normal,labelled,,,,,,0.22222222222222227,6,0,6,0.03125,0.09375
pairwise,normal,no_image,,,,,,0.1111111111111111,3,0,3,0.25,0.75
pairwise,labelled,no_image,,,,,,-0.11111111111111116,0,3,3,0.25,0.75
